product_idea,category,skill_level,available_materials,available_tools,budget_zar,estimated_cost_zar,build_feasible,build_time,revisions_needed
Clock,decorative,Intermediate,"pine off-cuts, nails, sandpaper, paint","band saw, drill press, orbital sander, clamps, chisel, mallet",940,405,YES,4-8 hours,0
Sawhorse,workshop,Beginner,"pine boards, wood screws, sandpaper, linseed oil","hand saw, hammer, tape measure, sandpaper, clamps",885,435,YES,3-5 hours,0
Cutting Board,decorative,Beginner,"pine off-cuts, nails, sandpaper, paint","jigsaw, drill, tape measure, sandpaper, square",403,189,YES,2-4 hours,3
Wine Rack,storage,Advanced,"meranti boards, metal hinges, wood screws, paint","miter saw, table saw, router, band saw, drill press, orbital sander, clamps, chisel",1183,335,NO,4-8 hours,2
Writing Desk,tables,Intermediate,"plywood sheets, hardwood edge banding, wood screws, lacquer","miter saw, drill, orbital sander, clamps, router, level",1814,649,YES,1-2 days,0
Crib,bedroom,Advanced,"plywood sheets, pine trim, wood screws, paint","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",12080,3874,YES,3-5 days,1
Picture Frame,decorative,Intermediate,"pine off-cuts, nails, sandpaper, paint","miter saw, drill, orbital sander, clamps, router, level",168,57,YES,1-3 hours,0
Dollhouse,kids,Advanced,"birch plywood, non-toxic finish, sandpaper, wood screws","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",5674,2479,YES,3-5 days,0
Tool Chest,storage,Advanced,"meranti boards, metal hinges, wood screws, paint","miter saw, table saw, router, band saw, drill press, orbital sander, clamps, chisel",2868,1145,YES,2-3 days,0
Pet Ramp,outdoor,Intermediate,"meranti boards, exterior glue, galvanised nails, wood preservative","circular saw, router, orbital sander, drill, clamps, tape measure",1297,408,YES,3-6 hours,0
End Table,tables,Beginner,"pine boards, metal legs, wood glue, wood oil","circular saw, hammer, tape measure, clamps, level",975,417,YES,4-8 hours,0
Standing Desk,tables,Advanced,"reclaimed wood, steel brackets, sandpaper, linseed oil","miter saw, table saw, router, band saw, drill press, orbital sander, clamps, chisel",4983,1981,YES,2-3 days,0
Coffee Table,tables,Beginner,"pine boards, wood screws, sandpaper, wood stain","hand saw, hammer, tape measure, sandpaper, clamps",1679,937,YES,1-2 days,0
Shoe Rack,storage,Beginner,"pine boards, plywood, wood screws, sandpaper, varnish","circular saw, hammer, tape measure, clamps, level",738,447,YES,3-5 hours,3
Wall-Mounted Shelves,storage,Beginner,"reclaimed wood, brackets, nails, linseed oil","jigsaw, drill, tape measure, sandpaper, square",1185,436,YES,2-4 hours,0
Coat Rack,storage,Beginner,"reclaimed wood, brackets, nails, linseed oil","hand saw, hammer, tape measure, sandpaper, clamps",790,384,YES,2-4 hours,0
Toolbox,storage,Beginner,"plywood sheets, pine edging, wood screws, lacquer","jigsaw, drill, tape measure, sandpaper, square",620,268,YES,1-2 days,0
Puzzle,kids,Advanced,"pine boards, non-toxic paint, sandpaper, wood glue","table saw, jointer, planer, router, drill press, orbital sander, clamps",611,282,YES,4-8 hours,0
Kitchen Island,tables,Advanced,"plywood sheets, hardwood edge banding, wood screws, lacquer","miter saw, table saw, router, band saw, drill press, orbital sander, clamps, chisel",5503,1516,YES,3-5 days,0
China Cabinet,storage,Intermediate,"meranti boards, metal hinges, wood screws, paint","table saw, drill, orbital sander, clamps, router, square",4469,2009,YES,4-6 days,0
Wall Art / Wood Carving,decorative,Advanced,"walnut off-cuts, danish oil, sandpaper, beeswax","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",793,330,NO,1-3 days,1
Console Table,tables,Beginner,"pine boards, wood screws, sandpaper, wood stain","hand saw, hammer, tape measure, sandpaper, clamps",2589,1188,NO,1-2 days,3
Picnic Table,tables,Intermediate,"plywood sheets, hardwood edge banding, wood screws, lacquer","circular saw, router, orbital sander, drill, clamps, tape measure",3785,1565,NO,1-2 days,1
Toy Box,storage,Beginner,"meranti boards, metal hinges, wood screws, paint","hand saw, hammer, tape measure, sandpaper, clamps",1075,487,YES,1-2 days,0
Pallet Furniture,seating,Beginner,"pine boards, wood screws, sandpaper, wood stain","circular saw, hammer, tape measure, clamps, level",555,205,YES,1-2 days,0
Cutting Board,decorative,Advanced,"pine boards, router bits, sandpaper, lacquer","table saw, jointer, planer, router, drill press, orbital sander, clamps",622,257,YES,2-4 hours,0
Workbench Vise Mounting,workshop,Advanced,"meranti boards, lag screws, sandpaper, wood stain","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",1522,617,YES,4-8 hours,0
Footboard,bedroom,Beginner,"plywood sheets, pine trim, wood screws, paint","jigsaw, drill, tape measure, sandpaper, square",1332,675,YES,4-8 hours,0
Linen Press,storage,Advanced,"reclaimed wood, brackets, nails, linseed oil","miter saw, table saw, router, band saw, drill press, orbital sander, clamps, chisel",6192,1784,YES,4-6 days,0
Standing Desk,tables,Advanced,"meranti boards, pocket screws, wood filler, polyurethane","CNC router, table saw, orbital sander, mortise chisel, mallet, clamps, router",6267,2229,YES,2-3 days,0
Dresser,storage,Advanced,"pine boards, dowels, wood filler, polyurethane","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",8474,3245,YES,3-5 days,3
Shoe Rack,storage,Beginner,"plywood sheets, pine edging, wood screws, lacquer","circular saw, hammer, tape measure, clamps, level",1073,520,YES,3-5 hours,2
Wall Art / Wood Carving,decorative,Advanced,"pine off-cuts, nails, sandpaper, paint","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",2513,858,YES,1-3 days,0
Dresser,storage,Advanced,"plywood sheets, pine edging, wood screws, lacquer","CNC router, table saw, orbital sander, mortise chisel, mallet, clamps, router",6495,2322,YES,3-5 days,2
Folding Step Ladder,outdoor,Intermediate,"reclaimed timber, galvanised brackets, outdoor stain, nails","band saw, drill press, orbital sander, clamps, chisel, mallet",2728,848,NO,4-8 hours,3
Step Stool,seating,Beginner,"pine boards, pocket screws, wood filler, polyurethane","circular saw, hammer, tape measure, clamps, level",828,375,YES,4-8 hours,1
Pallet Furniture,seating,Beginner,"meranti boards, dowels, sandpaper, paint","circular saw, hammer, tape measure, clamps, level",583,302,YES,1-2 days,3
Toolbox,storage,Intermediate,"reclaimed wood, brackets, nails, linseed oil","band saw, drill press, orbital sander, clamps, chisel, mallet",2027,586,YES,1-2 days,0
Corner Shelves,storage,Intermediate,"pine boards, plywood, wood screws, sandpaper, varnish","table saw, drill, orbital sander, clamps, router, square",480,176,YES,3-5 hours,2
Birdhouse,outdoor,Beginner,"treated pine, galvanised screws, outdoor paint, sandpaper","circular saw, hammer, tape measure, clamps, level",211,127,YES,2-4 hours,0
Wardrobe,storage,Advanced,"plywood sheets, pine edging, wood screws, lacquer","CNC router, table saw, orbital sander, mortise chisel, mallet, clamps, router",11794,3742,YES,4-6 days,0
Puzzle,kids,Beginner,"pine boards, non-toxic paint, sandpaper, wood glue","hand saw, hammer, tape measure, sandpaper, clamps",313,132,YES,4-8 hours,1
Pet Ramp,outdoor,Beginner,"treated pine, galvanised screws, outdoor paint, sandpaper","circular saw, hammer, tape measure, clamps, level",546,282,YES,3-6 hours,1
Picture Frame,decorative,Intermediate,"pine off-cuts, nails, sandpaper, paint","table saw, drill, orbital sander, clamps, router, square",198,70,YES,1-3 hours,2
Hall Tree,storage,Intermediate,"meranti boards, metal hinges, wood screws, paint","circular saw, router, orbital sander, drill, clamps, tape measure",2617,1212,YES,1-2 days,0
Bar Stool,seating,Intermediate,"pine boards, wood screws, sandpaper, wood stain","miter saw, drill, orbital sander, clamps, router, level",1244,555,YES,1-2 days,2
Cutting Board,decorative,Beginner,"pine off-cuts, nails, sandpaper, paint","circular saw, hammer, tape measure, clamps, level",649,376,YES,2-4 hours,2
Window Seat,storage,Advanced,"pine boards, dowels, wood filler, polyurethane","table saw, jointer, planer, router, drill press, orbital sander, clamps",5212,1736,YES,2-3 days,3
Rocking Chair,seating,Advanced,"hardwood lumber, mortise joints, wood glue, varnish","CNC router, table saw, orbital sander, mortise chisel, mallet, clamps, router",4866,1393,YES,3-5 days,0
Curio Cabinet,storage,Advanced,"oak lumber, dovetail joints, wood glue, oil finish","table saw, jointer, planer, router, drill press, orbital sander, clamps",7289,2395,YES,3-5 days,1
Bread Box,storage,Beginner,"pine boards, dowels, wood filler, polyurethane","hand saw, hammer, tape measure, sandpaper, clamps",566,358,YES,2-4 hours,0
China Cabinet,storage,Advanced,"oak lumber, dovetail joints, wood glue, oil finish","table saw, jointer, planer, router, drill press, orbital sander, clamps",9956,2532,YES,4-6 days,1
Dining Table,tables,Advanced,"meranti boards, pocket screws, wood filler, polyurethane","table saw, jointer, planer, router, drill press, orbital sander, clamps",4437,2072,YES,2-4 days,2
Bookshelf,storage,Intermediate,"plywood sheets, pine edging, wood screws, lacquer","band saw, drill press, orbital sander, clamps, chisel, mallet",882,391,YES,1-2 days,0
Platform Bed,bedroom,Intermediate,"plywood sheets, pine trim, wood screws, paint","table saw, drill, orbital sander, clamps, router, square",3805,1142,YES,2-3 days,1
Folding Step Ladder,outdoor,Advanced,"reclaimed timber, galvanised brackets, outdoor stain, nails","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",1607,602,YES,4-8 hours,3
Toolbox,storage,Beginner,"pine boards, dowels, wood filler, polyurethane","circular saw, hammer, tape measure, clamps, level",1362,760,YES,1-2 days,3
Writing Desk,tables,Beginner,"oak lumber, dowels, wood glue, varnish","hand saw, chisel, mallet, sandpaper, tape measure",1158,542,YES,1-2 days,0
Footboard,bedroom,Beginner,"meranti boards, pocket screws, sandpaper, lacquer","hand saw, hammer, tape measure, sandpaper, clamps",1215,554,YES,4-8 hours,1
Bird Feeder,outdoor,Advanced,"pine boards, outdoor screws, weather sealant, sandpaper","CNC router, table saw, orbital sander, mortise chisel, mallet, clamps, router",441,159,YES,1-3 hours,2
Armoire,storage,Advanced,"pine boards, dowels, wood filler, polyurethane","table saw, jointer, planer, router, drill press, orbital sander, clamps",5047,2345,YES,5-7 days,0
Arbor,outdoor,Advanced,"meranti boards, exterior glue, galvanised nails, wood preservative","miter saw, table saw, router, band saw, drill press, orbital sander, clamps, chisel",1569,461,YES,1-2 days,0
Coat Rack,storage,Beginner,"pine boards, dowels, wood filler, polyurethane","hand saw, chisel, mallet, sandpaper, tape measure",533,272,YES,2-4 hours,0
Armchair,seating,Intermediate,"reclaimed wood, steel brackets, sandpaper, linseed oil","table saw, drill, orbital sander, clamps, router, square",5001,2523,YES,3-4 days,0
Linen Press,storage,Intermediate,"oak lumber, dovetail joints, wood glue, oil finish","table saw, drill, orbital sander, clamps, router, square",5988,3677,NO,4-6 days,2
Folding Step Ladder,outdoor,Intermediate,"pine boards, outdoor screws, weather sealant, sandpaper","band saw, drill press, orbital sander, clamps, chisel, mallet",1541,688,NO,4-8 hours,3
Credenza,storage,Advanced,"meranti boards, metal hinges, wood screws, paint","miter saw, table saw, router, band saw, drill press, orbital sander, clamps, chisel",5289,2572,YES,3-5 days,0
Dining Table,tables,Intermediate,"reclaimed wood, steel brackets, sandpaper, linseed oil","table saw, drill, orbital sander, clamps, router, square",7001,2302,YES,2-4 days,1
Sawhorse,workshop,Beginner,"pine boards, wood screws, sandpaper, linseed oil","hand saw, chisel, mallet, sandpaper, tape measure",535,308,NO,3-5 hours,1
Memory Box / Hope Chest,storage,Beginner,"pine boards, plywood, wood screws, sandpaper, varnish","hand saw, hammer, tape measure, sandpaper, clamps",2378,1237,NO,1-2 days,2
Corner Shelves,storage,Beginner,"pine boards, plywood, wood screws, sandpaper, varnish","hand saw, hammer, tape measure, sandpaper, clamps",705,341,YES,3-5 hours,0
Adirondack Chair,seating,Advanced,"hardwood lumber, mortise joints, wood glue, varnish","miter saw, table saw, router, band saw, drill press, orbital sander, clamps, chisel",3899,1546,YES,1-2 days,2
Bunk Bed,bedroom,Advanced,"plywood sheets, pine trim, wood screws, paint","CNC router, table saw, orbital sander, mortise chisel, mallet, clamps, router",8189,3182,NO,3-5 days,1
Bar Stool,seating,Advanced,"hardwood lumber, mortise joints, wood glue, varnish","table saw, jointer, planer, router, drill press, orbital sander, clamps",2413,769,YES,1-2 days,0
Wooden Sign,decorative,Beginner,"pine boards, router bits, sandpaper, lacquer","hand saw, chisel, mallet, sandpaper, tape measure",183,98,YES,2-4 hours,0
Armchair,seating,Intermediate,"reclaimed wood, steel brackets, sandpaper, linseed oil","table saw, drill, orbital sander, clamps, router, square",3638,1206,YES,3-4 days,0
Chest of Drawers,storage,Advanced,"meranti boards, metal hinges, wood screws, paint","table saw, jointer, planer, router, drill press, orbital sander, clamps",3738,1287,YES,3-4 days,1
Workbench Vise Mounting,workshop,Advanced,"pine boards, wood screws, sandpaper, linseed oil","table saw, jointer, planer, router, drill press, orbital sander, clamps",1674,453,YES,4-8 hours,2
Bar Stool,seating,Intermediate,"hardwood lumber, mortise joints, wood glue, varnish","table saw, drill, orbital sander, clamps, router, square",1067,396,YES,1-2 days,0
Tool Chest,storage,Intermediate,"pine boards, plywood, wood screws, sandpaper, varnish","band saw, drill press, orbital sander, clamps, chisel, mallet",3283,1776,YES,2-3 days,3
Bar Stool,seating,Beginner,"reclaimed wood, steel brackets, sandpaper, linseed oil","hand saw, hammer, tape measure, sandpaper, clamps",811,388,YES,1-2 days,1
Window Seat,storage,Advanced,"pine boards, dowels, wood filler, polyurethane","miter saw, table saw, router, band saw, drill press, orbital sander, clamps, chisel",5087,1814,YES,2-3 days,0
Mirror Frame,decorative,Beginner,"reclaimed wood off-cuts, wood glue, sandpaper, varnish","hand saw, hammer, tape measure, sandpaper, clamps",598,292,YES,2-4 hours,1
Linen Press,storage,Intermediate,"meranti boards, metal hinges, wood screws, paint","band saw, drill press, orbital sander, clamps, chisel, mallet",8199,3197,YES,4-6 days,3
Dollhouse,kids,Advanced,"hardwood scraps, child-safe varnish, sandpaper, dowels","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",6286,1555,NO,3-5 days,1
Clock,decorative,Beginner,"pine off-cuts, nails, sandpaper, paint","circular saw, hammer, tape measure, clamps, level",802,351,YES,4-8 hours,1
Outdoor Lounge Chair,seating,Intermediate,"pine boards, wood screws, sandpaper, wood stain","circular saw, router, orbital sander, drill, clamps, tape measure",2448,1231,YES,1-2 days,2
Changing Table,bedroom,Intermediate,"reclaimed wood, steel brackets, sandpaper, linseed oil","circular saw, router, orbital sander, drill, clamps, tape measure",5398,1903,YES,2-3 days,1
Standing Desk,tables,Advanced,"reclaimed wood, steel brackets, sandpaper, linseed oil","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",9864,3153,YES,2-3 days,0
Platform Bed,bedroom,Intermediate,"pine boards, wood screws, sandpaper, wood stain","miter saw, drill, orbital sander, clamps, router, level",5336,2565,YES,2-3 days,2
Keepsake Box,storage,Beginner,"oak lumber, dovetail joints, wood glue, oil finish","hand saw, chisel, mallet, sandpaper, tape measure",891,351,YES,2-4 hours,0
Stool,seating,Beginner,"hardwood lumber, mortise joints, wood glue, varnish","hand saw, hammer, tape measure, sandpaper, clamps",776,306,YES,3-5 hours,0
Ladder Shelf,storage,Beginner,"oak lumber, dovetail joints, wood glue, oil finish","hand saw, hammer, tape measure, sandpaper, clamps",712,268,YES,4-8 hours,2
Knife Block,storage,Beginner,"meranti boards, metal hinges, wood screws, paint","jigsaw, drill, tape measure, sandpaper, square",234,97,YES,2-3 hours,0
Mirror Frame,decorative,Intermediate,"hardwood scraps, epoxy resin, sandpaper, oil finish","circular saw, router, orbital sander, drill, clamps, tape measure",309,117,NO,2-4 hours,3
Butcher Block Countertop,tables,Advanced,"meranti boards, pocket screws, wood filler, polyurethane","CNC router, table saw, orbital sander, mortise chisel, mallet, clamps, router",6788,1978,NO,2-4 days,2
Footstool,seating,Intermediate,"reclaimed wood, steel brackets, sandpaper, linseed oil","miter saw, drill, orbital sander, clamps, router, level",1390,563,NO,3-5 hours,2
Rocking Chair,seating,Advanced,"pine boards, pocket screws, wood filler, polyurethane","table saw, jointer, planer, router, drill press, orbital sander, clamps",9878,3954,YES,3-5 days,0
Armoire,storage,Advanced,"pine boards, dowels, wood filler, polyurethane","CNC router, table saw, orbital sander, mortise chisel, mallet, clamps, router",9885,3313,YES,5-7 days,0
Garden Bench,outdoor,Intermediate,"treated pine, galvanised screws, outdoor paint, sandpaper","table saw, drill, orbital sander, clamps, router, square",1232,553,YES,1-2 days,0
Gazebo,outdoor,Intermediate,"cedar boards, stainless screws, teak oil, sandpaper","table saw, drill, orbital sander, clamps, router, square",7486,2897,YES,5-7 days,2
Utensil Holder,storage,Beginner,"plywood sheets, pine edging, wood screws, lacquer","hand saw, hammer, tape measure, sandpaper, clamps",344,151,YES,1-2 hours,0
Linen Press,storage,Advanced,"oak lumber, dovetail joints, wood glue, oil finish","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",9306,3532,YES,4-6 days,0
Footstool,seating,Beginner,"meranti boards, dowels, sandpaper, paint","hand saw, chisel, mallet, sandpaper, tape measure",848,355,YES,3-5 hours,0
Chicken Coop,outdoor,Intermediate,"cedar boards, stainless screws, teak oil, sandpaper","miter saw, drill, orbital sander, clamps, router, level",4395,1535,YES,2-3 days,0
China Cabinet,storage,Advanced,"oak lumber, dovetail joints, wood glue, oil finish","CNC router, table saw, orbital sander, mortise chisel, mallet, clamps, router",10147,3141,NO,4-6 days,1
Loft Bed,bedroom,Advanced,"plywood sheets, pine trim, wood screws, paint","table saw, jointer, planer, router, drill press, orbital sander, clamps",4840,1717,YES,3-5 days,0
Stool,seating,Beginner,"meranti boards, dowels, sandpaper, paint","circular saw, hammer, tape measure, clamps, level",755,267,YES,3-5 hours,1
Credenza,storage,Advanced,"reclaimed wood, brackets, nails, linseed oil","CNC router, table saw, orbital sander, mortise chisel, mallet, clamps, router",9209,2697,NO,3-5 days,1
Footstool,seating,Beginner,"pine boards, wood screws, sandpaper, wood stain","hand saw, chisel, mallet, sandpaper, tape measure",739,334,YES,3-5 hours,0
Mirror Frame,decorative,Beginner,"pine off-cuts, nails, sandpaper, paint","hand saw, chisel, mallet, sandpaper, tape measure",571,188,YES,2-4 hours,0
Computer Desk,tables,Intermediate,"oak lumber, dowels, wood glue, varnish","table saw, drill, orbital sander, clamps, router, square",2946,1553,YES,1-2 days,0
Cutting Board,decorative,Beginner,"pine boards, router bits, sandpaper, lacquer","hand saw, hammer, tape measure, sandpaper, clamps",519,181,YES,2-4 hours,0
Canopy Bed,bedroom,Intermediate,"plywood sheets, pine trim, wood screws, paint","miter saw, drill, orbital sander, clamps, router, level",6168,3678,YES,4-6 days,0
Keepsake Box,storage,Intermediate,"plywood sheets, pine edging, wood screws, lacquer","miter saw, drill, orbital sander, clamps, router, level",712,329,YES,2-4 hours,1
Mirror Frame,decorative,Beginner,"walnut off-cuts, danish oil, sandpaper, beeswax","circular saw, hammer, tape measure, clamps, level",451,149,YES,2-4 hours,1
Desk,tables,Intermediate,"oak lumber, dowels, wood glue, varnish","circular saw, router, orbital sander, drill, clamps, tape measure",3030,1337,YES,1-2 days,1
Butcher Block Countertop,tables,Advanced,"meranti boards, pocket screws, wood filler, polyurethane","CNC router, table saw, orbital sander, mortise chisel, mallet, clamps, router",12443,3545,YES,2-4 days,3
Toolbox,storage,Beginner,"pine boards, dowels, wood filler, polyurethane","hand saw, hammer, tape measure, sandpaper, clamps",1556,626,YES,1-2 days,0
Wine Rack,storage,Intermediate,"pine boards, dowels, wood filler, polyurethane","table saw, drill, orbital sander, clamps, router, square",1099,383,YES,4-8 hours,0
Butcher Block Countertop,tables,Advanced,"pine boards, wood screws, sandpaper, wood stain","miter saw, table saw, router, band saw, drill press, orbital sander, clamps, chisel",10922,4267,NO,2-4 days,3
Bunk Bed,bedroom,Beginner,"oak lumber, dowels, wood glue, varnish","circular saw, hammer, tape measure, clamps, level",3949,1899,NO,3-5 days,3
Console Table,tables,Intermediate,"oak lumber, dowels, wood glue, varnish","miter saw, drill, orbital sander, clamps, router, level",2436,928,YES,1-2 days,1
Dog House,outdoor,Intermediate,"cedar boards, stainless screws, teak oil, sandpaper","circular saw, router, orbital sander, drill, clamps, tape measure",3135,1052,YES,1-2 days,1
Footboard,bedroom,Beginner,"pine boards, wood screws, sandpaper, wood stain","circular saw, hammer, tape measure, clamps, level",689,376,NO,4-8 hours,2
Linen Press,storage,Advanced,"meranti boards, metal hinges, wood screws, paint","table saw, jointer, planer, router, drill press, orbital sander, clamps",5329,1636,NO,4-6 days,3
Folding Chair,seating,Intermediate,"pine boards, pocket screws, wood filler, polyurethane","band saw, drill press, orbital sander, clamps, chisel, mallet",1586,615,YES,1-2 days,0
Loft Bed,bedroom,Advanced,"meranti boards, pocket screws, sandpaper, lacquer","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",8572,3297,YES,3-5 days,2
Wall Art / Wood Carving,decorative,Intermediate,"pine boards, router bits, sandpaper, lacquer","circular saw, router, orbital sander, drill, clamps, tape measure",1198,397,YES,1-3 days,0
Bed Frame,bedroom,Intermediate,"meranti boards, pocket screws, sandpaper, lacquer","table saw, drill, orbital sander, clamps, router, square",4112,1831,YES,2-3 days,0
Loft Bed,bedroom,Intermediate,"reclaimed wood, steel brackets, sandpaper, linseed oil","circular saw, router, orbital sander, drill, clamps, tape measure",8693,2738,YES,3-5 days,2
Dining Table,tables,Beginner,"pine boards, metal legs, wood glue, wood oil","jigsaw, drill, tape measure, sandpaper, square",3522,1678,YES,2-4 days,0
Folding Chair,seating,Advanced,"hardwood lumber, mortise joints, wood glue, varnish","table saw, jointer, planer, router, drill press, orbital sander, clamps",2532,627,NO,1-2 days,1
Hall Tree,storage,Advanced,"oak lumber, dovetail joints, wood glue, oil finish","miter saw, table saw, router, band saw, drill press, orbital sander, clamps, chisel",2796,1048,YES,1-2 days,0
Desk,tables,Beginner,"plywood sheets, hardwood edge banding, wood screws, lacquer","circular saw, hammer, tape measure, clamps, level",3362,1302,YES,1-2 days,0
Garden Bench,outdoor,Intermediate,"pine boards, outdoor screws, weather sealant, sandpaper","circular saw, router, orbital sander, drill, clamps, tape measure",1344,464,YES,1-2 days,0
Dresser,storage,Intermediate,"reclaimed wood, brackets, nails, linseed oil","miter saw, drill, orbital sander, clamps, router, level",8106,3057,NO,3-5 days,1
Utensil Holder,storage,Intermediate,"meranti boards, metal hinges, wood screws, paint","table saw, drill, orbital sander, clamps, router, square",467,183,YES,1-2 hours,0
Bed Frame,bedroom,Intermediate,"oak lumber, dowels, wood glue, varnish","band saw, drill press, orbital sander, clamps, chisel, mallet",4756,1665,YES,2-3 days,0
Bookcase,storage,Advanced,"reclaimed wood, brackets, nails, linseed oil","CNC router, table saw, orbital sander, mortise chisel, mallet, clamps, router",3821,989,YES,1-2 days,2
Nightstand,bedroom,Beginner,"plywood sheets, pine trim, wood screws, paint","hand saw, hammer, tape measure, sandpaper, clamps",1199,587,YES,4-8 hours,2
Pergola,outdoor,Advanced,"pine boards, outdoor screws, weather sealant, sandpaper","table saw, jointer, planer, router, drill press, orbital sander, clamps",11052,4079,YES,3-5 days,3
Footstool,seating,Beginner,"hardwood lumber, mortise joints, wood glue, varnish","hand saw, hammer, tape measure, sandpaper, clamps",900,538,YES,3-5 hours,0
Butcher Block Countertop,tables,Advanced,"reclaimed wood, steel brackets, sandpaper, linseed oil","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",5553,2911,YES,2-4 days,0
Utensil Holder,storage,Beginner,"meranti boards, metal hinges, wood screws, paint","hand saw, chisel, mallet, sandpaper, tape measure",406,137,YES,1-2 hours,3
Raised Garden Bed,outdoor,Intermediate,"reclaimed timber, galvanised brackets, outdoor stain, nails","miter saw, drill, orbital sander, clamps, router, level",1427,490,YES,1-2 days,0
Headboard,bedroom,Intermediate,"plywood sheets, pine trim, wood screws, paint","circular saw, router, orbital sander, drill, clamps, tape measure",1175,623,YES,4-8 hours,3
Folding Table,tables,Intermediate,"pine boards, metal legs, wood glue, wood oil","circular saw, router, orbital sander, drill, clamps, tape measure",3032,1208,YES,1-2 days,0
Rocking Chair,seating,Advanced,"meranti boards, dowels, sandpaper, paint","table saw, jointer, planer, router, drill press, orbital sander, clamps",4869,1767,NO,3-5 days,1
Secretary Desk,tables,Intermediate,"pine boards, metal legs, wood glue, wood oil","miter saw, drill, orbital sander, clamps, router, level",6318,2544,YES,3-5 days,0
Toolbox,storage,Beginner,"meranti boards, metal hinges, wood screws, paint","jigsaw, drill, tape measure, sandpaper, square",1215,623,YES,1-2 days,2
Picnic Table,tables,Intermediate,"pine boards, wood screws, sandpaper, wood stain","table saw, drill, orbital sander, clamps, router, square",2303,1221,YES,1-2 days,2
Dresser,storage,Beginner,"oak lumber, dovetail joints, wood glue, oil finish","hand saw, hammer, tape measure, sandpaper, clamps",5387,2811,YES,3-5 days,3
Armoire,storage,Intermediate,"oak lumber, dovetail joints, wood glue, oil finish","miter saw, drill, orbital sander, clamps, router, level",11532,3615,YES,5-7 days,0
Memory Box / Hope Chest,storage,Intermediate,"meranti boards, metal hinges, wood screws, paint","circular saw, router, orbital sander, drill, clamps, tape measure",1626,906,YES,1-2 days,0
End Table,tables,Beginner,"pine boards, wood screws, sandpaper, wood stain","hand saw, chisel, mallet, sandpaper, tape measure",835,435,YES,4-8 hours,0
Wardrobe,storage,Advanced,"plywood sheets, pine edging, wood screws, lacquer","CNC router, table saw, orbital sander, mortise chisel, mallet, clamps, router",7615,3338,YES,4-6 days,0
Tool Chest,storage,Intermediate,"oak lumber, dovetail joints, wood glue, oil finish","band saw, drill press, orbital sander, clamps, chisel, mallet",2081,1165,YES,2-3 days,0
Tool Chest,storage,Intermediate,"plywood sheets, pine edging, wood screws, lacquer","miter saw, drill, orbital sander, clamps, router, level",2001,944,YES,2-3 days,0
Picnic Table,tables,Intermediate,"reclaimed wood, steel brackets, sandpaper, linseed oil","circular saw, router, orbital sander, drill, clamps, tape measure",2537,1115,YES,1-2 days,0
Adirondack Chair,seating,Intermediate,"pine boards, wood screws, sandpaper, wood stain","band saw, drill press, orbital sander, clamps, chisel, mallet",4027,1393,YES,1-2 days,3
Wall Art / Wood Carving,decorative,Intermediate,"reclaimed wood off-cuts, wood glue, sandpaper, varnish","circular saw, router, orbital sander, drill, clamps, tape measure",2147,770,YES,1-3 days,0
Bird Feeder,outdoor,Beginner,"reclaimed timber, galvanised brackets, outdoor stain, nails","jigsaw, drill, tape measure, sandpaper, square",179,115,YES,1-3 hours,0
Corner Shelves,storage,Beginner,"meranti boards, metal hinges, wood screws, paint","jigsaw, drill, tape measure, sandpaper, square",866,349,YES,3-5 hours,0
Spice Rack,storage,Beginner,"pine boards, plywood, wood screws, sandpaper, varnish","hand saw, hammer, tape measure, sandpaper, clamps",263,116,YES,2-4 hours,0
Bench with Backrest,seating,Advanced,"hardwood lumber, mortise joints, wood glue, varnish","table saw, band saw, router table, drill press, orbital sander, mortise chisel, mallet, clamps",3701,938,NO,1-2 days,1
Toy Box,storage,Beginner,"reclaimed wood, brackets, nails, linseed oil","jigsaw, drill, tape measure, sandpaper, square",1027,409,YES,1-2 days,3
Wardrobe,storage,Beginner,"reclaimed wood, brackets, nails, linseed oil","circular saw, hammer, tape measure, clamps, level",5521,2360,YES,4-6 days,0
Coffee Table,tables,Intermediate,"pine boards, wood screws, sandpaper, wood stain","table saw, drill, orbital sander, clamps, router, square",2035,987,NO,1-2 days,1
Wooden Toys,kids,Beginner,"hardwood scraps, child-safe varnish, sandpaper, dowels","jigsaw, drill, tape measure, sandpaper, square",248,104,NO,2-4 hours,2
Armoire,storage,Advanced,"reclaimed wood, brackets, nails, linseed oil","miter saw, table saw, router, band saw, drill press, orbital sander, clamps, chisel",7526,1978,YES,5-7 days,0
